[03:31:16.730] Saved model at iteration 0
[03:35:33.357] Saved model at iteration 0
[03:36:57.426] Saved model at iteration 0
[03:44:18.784] Saved model at iteration 0
[03:45:57.340] Saved model at iteration 0
[03:51:40.201] 50,4.151920,-0.190490,0.016098,3.958960,3.673515
[03:51:41.320] 51,4.204433,-0.130560,0.016382,3.955414,3.631968
[03:51:42.444] 52,4.173112,-0.155794,0.016915,3.949604,3.623870
[03:51:43.568] 53,4.138538,-0.187267,0.017717,3.941406,3.666819
[03:51:44.690] 54,4.163680,-0.153819,0.017825,3.939048,3.606263
[03:51:45.812] 55,4.140215,-0.174121,0.018214,3.933319,3.628038
[03:51:46.935] 56,4.178551,-0.129262,0.017429,3.932206,3.581777
[03:51:48.059] 57,4.150599,-0.145484,0.018304,3.917499,3.602800
[03:51:49.181] 58,4.093388,-0.202960,0.019185,3.913783,3.633800
[03:51:50.302] 59,4.087556,-0.197082,0.019497,3.901956,3.631854
[03:51:51.424] 60,4.111015,-0.166854,0.019287,3.899953,3.586291
[03:51:52.548] 61,4.072641,-0.200286,0.019552,3.893056,3.603192
[03:51:53.671] 62,4.092057,-0.169055,0.019432,3.886041,3.556393
[03:51:54.796] 63,4.053477,-0.204913,0.019979,3.879651,3.587605
[03:51:55.916] 64,4.077500,-0.169331,0.019924,3.872267,3.546402
[03:51:57.041] 65,4.092628,-0.149495,0.020845,3.868462,3.528174
[03:51:58.166] 66,4.047961,-0.182458,0.021525,3.854784,3.541104
[03:51:59.291] 67,4.081525,-0.147187,0.022257,3.855212,3.512429
[03:52:00.411] 68,4.020743,-0.199848,0.023278,3.842868,3.544444
[03:52:01.535] 69,4.066868,-0.150075,0.022531,3.844144,3.502680
[03:52:02.660] 70,4.013280,-0.194138,0.023662,3.831642,3.521148
[03:52:03.785] 71,3.982499,-0.218241,0.023036,3.824375,3.533287
[03:52:04.908] 72,4.031102,-0.163238,0.023077,3.821988,3.492747
[03:52:06.038] 73,4.005904,-0.182974,0.023159,3.815412,3.503066
[03:52:07.162] 74,3.993850,-0.190106,0.023303,3.809792,3.508606
[03:52:08.287] 75,3.943052,-0.229362,0.024078,3.795262,3.530740
[03:52:09.409] 76,3.962369,-0.204839,0.025155,3.792202,3.498515
[03:52:10.533] 77,3.958309,-0.205599,0.025190,3.789668,3.490502
[03:52:11.653] 78,3.930601,-0.229160,0.025594,3.783879,3.502875
[03:52:12.776] 79,3.925444,-0.230360,0.026681,3.779720,3.494032
[03:52:13.897] 80,3.971044,-0.178274,0.027049,3.777336,3.449322
[03:52:15.021] 81,3.913768,-0.236499,0.027678,3.772309,3.502803
[03:52:16.148] 82,3.932024,-0.211404,0.028557,3.767897,3.469731
[03:52:17.273] 83,3.898956,-0.236901,0.029410,3.757939,3.485079
[03:52:18.395] 84,3.893174,-0.234285,0.029338,3.750395,3.477259
[03:52:19.519] 85,3.914429,-0.206149,0.029533,3.746893,3.441507
[03:52:20.644] 86,3.905338,-0.216148,0.029100,3.747566,3.448204
[03:52:21.768] 87,3.886542,-0.227634,0.031001,3.738442,3.447335
[03:52:22.890] 88,3.869576,-0.247274,0.031170,3.738516,3.471630
[03:52:24.020] 89,3.871230,-0.239353,0.031777,3.733281,3.455246
[03:52:25.147] 90,3.857289,-0.249093,0.031005,3.729192,3.461858
[03:52:26.268] 91,3.833520,-0.260253,0.030900,3.716838,3.460350
[03:52:27.387] 92,3.850604,-0.243440,0.030567,3.718994,3.444828
[03:52:28.506] 93,3.911538,-0.175670,0.030280,3.719836,3.370920
[03:52:29.631] 94,3.870020,-0.215444,0.031097,3.712749,3.416188
[03:52:30.755] 95,3.835822,-0.244021,0.031458,3.706748,3.416371
[03:52:31.880] 96,3.860840,-0.213812,0.032593,3.703397,3.386622
[03:52:33.003] 97,3.821495,-0.248242,0.032092,3.696633,3.410121
[03:52:34.128] 98,3.835849,-0.229996,0.032999,3.693019,3.398263
[03:52:35.253] 99,3.850798,-0.210589,0.034708,3.689596,3.370823
[03:52:36.378] 100,3.811497,-0.245263,0.035486,3.680577,3.406969
[03:52:37.500] 101,3.828280,-0.226765,0.033606,3.682178,3.392605
[03:52:38.624] 102,3.794017,-0.258917,0.031817,3.679971,3.411462
[03:52:39.750] 103,3.809782,-0.235802,0.032568,3.675834,3.371815
[03:52:40.872] 104,3.815302,-0.229010,0.033349,3.672641,3.383222
[03:52:41.996] 105,3.781334,-0.257567,0.035286,3.664480,3.391343
[03:52:43.126] 106,3.791737,-0.247188,0.035197,3.666067,3.376597
[03:52:44.251] 107,3.818909,-0.211666,0.037156,3.658723,3.346958
[03:52:45.374] 108,3.781404,-0.252585,0.035255,3.661761,3.369738
[03:52:46.497] 109,3.754755,-0.275418,0.035380,3.656532,3.382604
[03:52:47.620] 110,3.746031,-0.274738,0.035645,3.647810,3.373142
[03:52:48.744] 111,3.813208,-0.203890,0.036973,3.650482,3.296440
[03:52:49.868] 112,3.790299,-0.222698,0.038219,3.642197,3.325812
[03:52:50.993] 113,3.757018,-0.253130,0.038950,3.636711,3.344877
[03:52:52.119] 114,3.781165,-0.229739,0.039969,3.639404,3.315307
[03:52:53.244] 115,3.731533,-0.274124,0.036171,3.633279,3.362065
[03:52:54.369] 116,3.726894,-0.275744,0.035716,3.631024,3.358989
[03:52:55.494] 117,3.713504,-0.281100,0.036257,3.623397,3.349500
[03:52:56.621] 118,3.743248,-0.247093,0.038619,3.621141,3.305817
[03:52:57.748] 119,3.706679,-0.284549,0.037456,3.620165,3.336079
[03:52:58.873] 120,3.720506,-0.263781,0.038901,3.613616,3.317697
[03:52:59.995] 121,3.687409,-0.288364,0.036674,3.604575,3.345235
[03:53:01.120] 122,3.745065,-0.229740,0.037593,3.608613,3.285996
[03:53:02.246] 123,3.721967,-0.251685,0.038826,3.605675,3.291501
[03:53:03.370] 124,3.701058,-0.271223,0.040006,3.600613,3.316623
[03:53:04.492] 125,3.685464,-0.285553,0.039067,3.600610,3.313405
[03:53:05.616] 126,3.755598,-0.205173,0.039903,3.595004,3.258634
[03:53:06.740] 127,3.686057,-0.271791,0.037045,3.588970,3.318322
[03:53:07.865] 128,3.676283,-0.283572,0.037153,3.591418,3.312835
[03:53:08.989] 129,3.686532,-0.265393,0.038711,3.585761,3.274541
[03:53:10.113] 130,3.709965,-0.239389,0.039775,3.583936,3.256433
[03:53:11.235] 131,3.682534,-0.262561,0.038855,3.579559,3.266816
[03:53:12.358] 132,3.658673,-0.282155,0.037809,3.572725,3.302942
[03:53:13.479] 133,3.667414,-0.272077,0.038228,3.574434,3.268285
[03:53:14.604] 134,3.693923,-0.241362,0.039905,3.571865,3.235150
[03:53:15.737] 135,3.662300,-0.270300,0.040469,3.565089,3.270416
[03:53:16.861] 136,3.660401,-0.269938,0.041731,3.562928,3.256802
[03:53:17.984] 137,3.694885,-0.226897,0.042420,3.556717,3.226446
[03:53:19.109] 138,3.629389,-0.285521,0.038926,3.551261,3.247223
[03:53:20.232] 139,3.616794,-0.294674,0.038608,3.546144,3.267161
[03:53:21.356] 140,3.663822,-0.247781,0.041363,3.548759,3.214815
[03:53:22.480] 141,3.606879,-0.300050,0.041461,3.538975,3.264919
[03:53:23.608] 142,3.678494,-0.237094,0.047311,3.549541,3.187353
[03:53:24.732] 143,3.591362,-0.309380,0.042373,3.531514,3.268545
[03:53:25.857] 144,3.628572,-0.268768,0.041925,3.533797,3.216172
[03:53:26.983] 145,3.610057,-0.291845,0.041507,3.536100,3.242948
[03:53:28.110] 146,3.624700,-0.266711,0.040952,3.528531,3.219275
[03:53:29.237] 147,3.650048,-0.240631,0.044734,3.526971,3.189739
[03:53:30.362] 148,3.592304,-0.298967,0.044508,3.522667,3.240954
[03:53:31.482] 149,3.624949,-0.258130,0.043007,3.522799,3.172730
[03:53:32.607] 150,3.575777,-0.300680,0.040506,3.513397,3.225539
[03:53:33.733] 151,3.607300,-0.266528,0.040909,3.513378,3.195412
[03:53:34.857] 152,3.615127,-0.254200,0.042003,3.510996,3.163270
[03:53:35.981] 153,3.586298,-0.282513,0.042939,3.505531,3.203421
[03:53:37.104] 154,3.603415,-0.259823,0.043558,3.501906,3.177743
[03:53:38.228] 155,3.619315,-0.241696,0.043875,3.501256,3.158804
[03:53:39.354] 156,3.577698,-0.274330,0.042426,3.491967,3.176356
[03:53:40.480] 157,3.599154,-0.259551,0.043888,3.499339,3.154797
[03:53:41.603] 158,3.600244,-0.256270,0.042872,3.499305,3.143369
[03:53:42.727] 159,3.547695,-0.297622,0.041446,3.484729,3.191422
[03:53:43.852] 160,3.559978,-0.280036,0.042314,3.481098,3.166020
[03:53:44.977] 161,3.545848,-0.293328,0.041287,3.480879,3.170096
[03:53:46.106] 162,3.549326,-0.285251,0.041586,3.478197,3.147940
[03:53:47.230] 163,3.523678,-0.309981,0.040831,3.475041,3.177865
